Report generated on: 12-29-2022 11:25:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,total energy production (quad Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.44-1-AUS-QBTU.A,        Australia,3.722297333,4.142083016,4.149179345,4.544673514,4.927573328,5.411039308,5.614002178,6.161929291,5.845689871,6.029414176,6.591906717,6.913291738,7.128023323,7.144748288,7.227797357,7.758512834,7.918051689,8.334145819,8.714479637,8.824328341,9.638799238,10.08878463,10.32194614,10.05300752,10.13144647,10.75793272,10.84286479,11.37101766,11.46018125,11.82757974,13.22081925,12.77770916,13.13065027,14.18255887,15.08070006,15.65180832,16.09826409,16.86993783,17.35916749,18.92253191,18.67941226,18.01231093
INTL.44-1-AUT-QBTU.A,        Austria,0.477056917,0.470869747,0.472787608,0.46138511,0.445309168,0.462166206,0.461008282,0.403179699,0.50192675,0.503297396,0.465456697,0.472400419,0.498603096,0.514585297,0.491759463,0.520045997,0.486177296,0.493264364,0.513070654,0.549077562,0.565510967,0.557483871,0.557003628,0.491500975,0.516436813,0.50836949,0.525031538,0.551757998,0.5524752,0.577802728,0.545320004,0.505143016,0.593578235,0.567091102,0.563655235,0.530440303,0.550642005,0.549275289,0.522594805,0.56410935,0.542696228,0.505869402
INTL.44-1-AZE-QBTU.A,        Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,0.778357872,0.717280783,0.661406255,0.645085406,0.651316474,0.619397184,0.730767138,0.84000268,0.83656206,0.880257595,0.878819774,0.904757823,0.887608073,1.181445888,1.65683658,2.213260671,2.461117391,2.749775382,2.833613276,2.704516657,2.597275899,2.502823304,2.479827844,2.50494981,2.461803915,2.339899183,2.378237826,2.518582437,2.417830699,2.701185932
INTL.44-1-BHR-QBTU.A,        Bahrain,0.220752774,0.237047333,0.242845188,0.25078951,0.241762868,0.272163532,0.295236342,0.332325684,0.298459312,0.29825744,0.312586187,0.333319791,0.286746885,0.351525984,0.34827946,0.343585195,0.333921866,0.397731467,0.403707151,0.407563133,0.414906905,0.424585459,0.445107867,0.452094006,0.457374043,0.486748932,0.511238066,0.527876728,0.869199846,0.869654134,0.876230674,0.890191198,0.893754581,0.984466418,1.024558776,1.024245061,1.017875964,1.032321573,1.034465512,1.097055586,1.048226221,1.080748922
INTL.44-1-BGD-QBTU.A,        Bangladesh,0.053542502,0.06192692,0.068085551,0.072315474,0.099606438,0.103319364,0.112541005,0.130109003,0.149763122,0.165180306,0.163530766,0.173230475,0.20442542,0.222012406,0.244167425,0.263654056,0.272208131,0.27474517,0.29569786,0.324582148,0.350521732,0.373716947,0.407646155,0.456995298,0.496593288,0.531866436,0.582726925,0.625596603,0.693969999,0.753284157,0.775187133,0.775013932,0.84769845,0.876649729,0.916327572,1.01973903,1.125437842,1.078727254,1.070334519,1.060012798,0.982117452,0.936612494
INTL.44-1-BRB-QBTU.A,        Barbados,0.0004188,0.0004188,0.0025588,0.0025588,0.0047188,0.0046988,0.0046988,0.003309688,0.003733773,0.003402562,0.003826847,0.003789872,0.004780992,0.004521662,0.004270545,0.004521662,0.003811153,0.003517195,0.00479434,0.005806514,0.004687145,0.003913129,0.003213689,0.003213689,0.003256531,0.003115758,0.003348856,0.002838053,0.002776626,0.002745169,0.002758046,0.002780951,0.002874363,0.002998483,0.002761601,0.002927764,0.0029946,0.002987859,0.002993475,0.003084863,0.003277928,0.003399445
INTL.44-1-BLR-QBTU.A,        Belarus,--,--,--,--,--,--,--,--,--,--,--,--,0.096877818,0.096980194,0.096127728,0.093990156,0.088969001,0.085536935,0.086499171,0.086412172,0.087263269,0.08704365,0.085593889,0.084264575,0.085130969,0.082081866,0.081993353,0.081664044,0.081927758,0.078247338,0.068042196,0.067891984,0.06803598,0.069204931,0.068842132,0.0604334,0.075410608,0.078347109,0.082044079,0.085107583,0.091693233,0.147194883
INTL.44-1-BEL-QBTU.A,        Belgium,0.299878697,0.299836636,0.335462088,0.407233784,0.450642822,0.512263482,0.545206953,0.538484471,0.498365251,0.463784083,0.458170942,0.449639286,0.446530957,0.425026081,0.413101293,0.421087495,0.439726459,0.478699319,0.468369884,0.498023544,0.492187305,0.477170279,0.486964287,0.485856541,0.489457483,0.497034033,0.496805109,0.519475593,0.503448769,0.545989866,0.569024046,0.5890621,0.528303851,0.560835952,0.483215695,0.41890767,0.588415272,0.591801415,0.465422264,0.629181031,0.552545461,0.695511494
INTL.44-1-BLZ-QBTU.A,        Belize,0.00041552,0.00041812,0.00041816,0.000420801,0.0004176,0.00041788,0.00041784,0.00041676,0.00041296,0.00041728,0.00041608,0.00041744,0.00041368,0.00041236,0.00041264,0.00082496,0.001034,0.001103004,0.001072724,0.001178035,0.00112415,0.001101229,0.001072672,0.000783209,0.000815453,0.000827667,0.006663686,0.008206171,0.009525631,0.010325618,0.01200726,0.011351633,0.00877448,0.007745298,0.007043331,0.006905321,0.007041595,0.005649953,0.005237513,0.00568201,0.003619081,0.004818201
INTL.44-1-BEN-QBTU.A,        Benin,0,0,0,0.00896,0.01573,0.01793,0.01793,0.01569,0.01124,0.008967432,0.008967432,0.008967432,0.0125888,0.013002776,0.013226962,0.006725574,0.004513578,0.002931777,0.002259193,0.002259242,0.001571522,0.001589967,0.001813832,0.000916993,0.000010016,0.000009999,0.000009919,0.000009884,0.000009854,0.00000976,0.000009756,0.000009716,0.000009516,0.000019082,0.00001902,0.000055914,0.00009232,0.000055278,4.64304E-05,7.17743E-05,6.19374E-05,7.07104E-05
